"Sample"	"ChlA1"	"ChlA2"	"Resp_mg"	"NPP_mg"	"Resp_uM"	"NPP_uM"	"Cladocera_S"	"Copepoda_S"	"Total_Zoop"	"CladCope"
"Tank_01"	3.87	0.94	1.097	1.6	34.281	50	92.5	52.5	145	1.76190476190476
"Tank_02"	4.2	2.46	1.257	2.044	39.281	63.875	17.5	57.5	75	0.304347826086957
"Tank_03"	0.75	0.86	0.183	1.618	5.719	50.562	3.3	40	43.3	0.0825
"Tank_04"	0.82	0.88	0.777	1.28	24.281	40	21.7	110	131.7	0.197272727272727
"Tank_05"	3.48	1.25	1.646	1.831	51.438	57.219	131.2	125	256.2	1.0496
"Tank_06"	3.3	2.45	2.08	2.631	65	82.219	400	375	775	1.06666666666667
"Tank_07"	2.33	1.23	1.966	2.222	61.438	69.438	97.5	187.5	285	0.52
"Tank_08"	4.69	8.31	1.76	1.742	55	54.438	97.5	180	277.5	0.541666666666667
"Tank_09"	4.02	5.03	1.623	1.6	50.719	50	790.6	378.1	1168.7	2.09098122189897
"Tank_10"	4.36	1.55	1.257	1.138	39.281	35.562	445.8	300	745.8	1.486
"Tank_11"	3.08	0.63	1.12	1.156	35	36.125	525	225	750	2.33333333333333
"Tank_12"	3.22	2.33	1.394	0.747	43.562	23.344	309.2	200.7	509.9	1.54060787244644
"Tank_13"	3.08	2.38	1.006	0.711	31.438	22.219	408.3	441.7	850	0.924383065429024
"Tank_14"	2.64	4.22	1.349	2.062	42.156	64.438	545	195	740	2.79487179487179
"Tank_15"	3.44	1.33	0.96	1.049	30	32.781	810	685	1495	1.18248175182482
"Tank_16"	2.23	1.7	-0.206	0.604	-6.438	18.875	405	215	620	1.88372093023256
"Tank_17"	1.79	1.5	0.571	1.102	17.844	34.438	320.8	116.7	437.5	2.74892887746358
"Tank_18"	2.21	2.03	0.64	1.529	20	47.781	96.4	400	496.4	0.241
"Tank_19"	1.74	1.4	0.846	1.422	26.438	44.438	780	205	985	3.80487804878049
"Tank_20"	3.48	2.34	0.617	1.564	19.281	48.875	429.2	270.8	700	1.58493353028065
"Tank_21"	0.83	0.56	0.389	0.853	12.156	26.656	683.3	533.3	1216.6	1.2812675792237
"Tank_22"	1.41	1.92	0.16	1.084	5	33.875	531.2	187.5	718.7	2.83306666666667
"Tank_23"	0.57	0.72	-0.32	0.658	-10	20.562	105.7	160.6	266.3	0.658156911581569
"Tank_24"	1.56	7.2	0.48	0.871	15	27.219	580	235	815	2.46808510638298
